APPL_NO,FORM,STRDADDRESS,BLOCK,LOT,UNITS,NETUNITS,AFF_HSG,AFF_TARGET,CNG_TYPE,EXISTUSE,PROPUSE,ACTDATE,ZONING,PD_NO,SD_NO
200802084340,2,1432 23RD AV,1831,57,1,1,,,N,,1 FAMILY DWELLING,05/27/2011 12:00:00 AM,RH-1,15,4
201010263775,8,2627 LOMBARD ST,0939,036,1,1,,,CH,1 FAMILY DWELLING,1 FAMILY DWELLING,,RH-2,2,2
200612049108,3,3540 RIVERA ST,2172,046,1,1,,,L,1 FAMILY DWELLING,1 FAMILY DWELLING,,RH-1,15,4
200803187436,3,428 CAPP ST,3595,035,1,1,,,New,1 FAMILY DWELLING,1 FAMILY DWELLING,,RTO-Mission,8,9
201010153132,8,3400 LAGUNA ST,0471,003,170,-1,,,M,APARTMENTS,APARTMENTS,,RM-1,2,2
201008319975,3,301 FOLSOM ST,3747,026,59,-1,,,AC,APARTMENTS,APARTMENTS,,RH DTR,9,6
200904035560,3,285 TURK ST,0344,006B,40,-1,,,L,APARTMENTS,APARTMENTS,,RC-4,4,6
201105206434,8,4205 24TH ST,6505,001,5,-1,,,M,APARTMENTS,APARTMENTS,,24TH-NOE,7,8
200802124649,3,3943 17TH ST,3582,078,4,-1,,,M,APARTMENTS,APARTMENTS,,RH-3,7,8
201102160401,8,3947 17TH ST,3582,078,4,-1,,,M,APARTMENTS,APARTMENTS,,RH-3,7,8
201004029560,3,1027 HAYES ST,0823,014,3,-1,,,M,APARTMENTS,APARTMENTS,,RH-3,5,5
201007086197,3,2248 WASHINGTON ST,0603,004B,2,-1,,,L,2 FAMILY DWELLING,2 FAMILY DWELLING,,RH-2,2,2
200907102340,8,380 PARK ST,5721,068,2,-1,,,L,2 FAMILY DWELLING,2 FAMILY DWELLING,,RH-2,11,9
201007166845,3,2205 PACIFIC AV,0589,026,2,-1,,,L,APARTMENTS,2 FAMILY DWELLING,,RH-2,2,2
201012307647,8,37 NORTON ST,3206,028,2,-1,,,L,2 FAMILY DWELLING,2 FAMILY DWELLING,,RH-1,12,11
201102029489,8,2702 DIAMOND ST,6740,024,2,-1,,,L,2 FAMILY DWELLING,2 FAMILY DWELLING,,RH-2,7,8
201101128251,8,418 BOSWORTH ST,6747,027,2,-1,,,L,2 FAMILY DWELLING,2 FAMILY DWELLING,,RH-2,12,9
201003128102,8,529 23RD AV,1566,007,2,-1,,,L,2 FAMILY DWELLING,2 FAMILY DWELLING,,RH-2,1,1
200909308013,3,436 SCOTT ST,0825,016,1,-1,,,M,2 FAMILY DWELLING,1 FAMILY DWELLING,,RH-3,5,5
201104043454,3,30 PIEDMONT ST,1270,014,1,-1,,,M,2 FAMILY DWELLING,1 FAMILY DWELLING,,RH-2,6,8
201006013612,8,3982 ALEMANY BL,7130,025,1,-1,,,M,2 FAMILY DWELLING,1 FAMILY DWELLING,,RH-1,13,7
200805071525,3,742 42ND AV,1603,037,1,-1,,,M,2 FAMILY DWELLING,1 FAMILY DWELLING,,RH-2,1,1
200908144848,8,3947 26TH ST,6565,039,1,-1,,,M,2 FAMILY DWELLING,1 FAMILY DWELLING,,RH-2,7,8
