STDADDRESS,PRJ_NAME,BLOCK,LOT,UNITS,NETUNITS,AFF_HSG,AFF_TARGET,CNG_TYPE,EXISTUSE,PROPUSE,ACTDATE, Zoning,PD_NO,SD_NO,PLANAREA
20 LEDYARD ST,,5396,,1,-1,,,,1 FAMILY DWELLING,1 FAMILY DWELLING,3/18/2013,RH-1 (D),7,8,Glen Park
206 LISBON ST,,6016,,1,-1,,,,1 FAMILY DWELLING,1 FAMILY DWELLING,7/18/2013,RH-2,1,1,Geary Corridor
2187 REVERE AV,,5347,28,1,-1,,,,1 FAMILY DWELLING,1 FAMILY DWELLING,5/2/2013,RH-3,7,8,
227 DOUGLASS ST,,2692,29,1,-1,,,,1 FAMILY DWELLING,1 FAMILY DWELLING,10/9/2013,RH-2,1,1,Geary Corridor
230 02ND AV,,1432,37,-1,-1,,,Demolition,1 FAMILY DWELLING,,2/4/2013,RED,9,6,Eastern Neighborhoods
2462 35TH AV,,2391,31,1,-1,,,,1 FAMILY DWELLING,1 FAMILY DWELLING,3/13/2013,RH-1,13,11,
2463 30TH AV,,2395,12,1,-1,,,,1 FAMILY DWELLING,1 FAMILY DWELLING,1/4/2013,RC-4,4,6,
247 THERESA ST,,6780,10,1,-1,,,,1 FAMILY DWELLING,1 FAMILY DWELLING,5/9/2013,RH-1 (D),14,7,
251 ROME ST,,7045B,33,1,-1,,,,1 FAMILY DWELLING,1 FAMILY DWELLING,9/6/2013,RH-1,10,10,Bayview
2546 43RD AV,,2443,,1,-1,,,,1 FAMILY DWELLING,1 FAMILY DWELLING,2/15/2013,RH-1,13,11,
257 SAGAMORE ST,,7148,37,1,-1,,,,1 FAMILY DWELLING,1 FAMILY DWELLING,2/27/2013,RED,4,6,Eastern Neighborhoods
2619 PACIFIC AV,,585,16,4,-1,,,,APARTMENTS,APARTMENTS,6/18/2013,RH-2,13,7,
2626 FILBERT ST,,943,,-1,-1,,,Demolition,1 FAMILY DWELLING,,6/18/2013,RH-1,12,11,
2659 LEAVENWORTH ST,,27,,2,-1,,,,2 FAMILY DWELLING,2 FAMILY DWELLING,6/18/2013,RTO,5,5,Market/Octavia
2726 NORIEGA ST,,2015,36,1,-1,,,,1 FAMILY DWELLING,1 FAMILY DWELLING,4/8/2013,RTO,8,8,Market/Octavia
28 PRINCETON ST,,5865,5,1,-1,,,,1 FAMILY DWELLING,1 FAMILY DWELLING,7/25/2013,RH-1,10,10,Bayview
2919 LAGUNA ST,,531,4,-1,-1,,,Demolition,1 FAMILY DWELLING,,2/21/2013,NC-1,13,7,
