STDADDRESS,PRJ_NAME,BLOCK,LOT,UNITS,NETUNITS,AFF_HSG,AFF_TARGET,ADD_TYPE,EXISTUSE,PROPUSE,ACTDATE,ZONING,PD_NO,SD_NO,PLANAREA
1001 CALIFORNIA ST,,254,80,14,2,,,,FOOD/BEVERAGE HNDLNG,APARTMENTS,21-Aug-12,RM-4,3,3,
1140 PAGE ST,,1219,11,4,2,,,,2 FAMILY DWELLING,APARTMENTS,17-Jul-12,RM-2,6,5,
439 GUERRERO ST,,3568,57,3,3,,,,CHURCH,APARTMENTS,18-Apr-12,RTO-Mission,8,6,Mission
1140 POTRERO AV,,4211,9,3,2,,,,1 FAMILY DWELLING,APARTMENTS,19-Jan-12,RH-3,8,9,Mission
1621 IRVING ST,,1772,13,3,2,,,,1 FAMILY DWELLING,APARTMENTS,06-Feb-12,INNER SUNSET,14,5,
646 BALBOA ST,,1550,29,3,2,,,,1 FAMILY DWELLING,APARTMENTS,23-Oct-12,RM-1,1,1,
1629 DOLORES ST,,6634,15,3,2,,,,1 FAMILY DWELLING,2 FAMILY DWELLING,26-Mar-12,RH-3,7,8,
52 GRENARD TR,,502,9,2,2,,,,,2 FAMILY DWELLING,05-Jul-12,RH-3,3,2,
342 SOUTH VAN NESS AV,,3548,7,3,1,1,MOD 2,,APARTMENTS,APARTMENTS,08-Aug-12,UMU,8,6,Mission
2608 POST ST,,1073,8,2,2,,,,,2 FAMILY DWELLING,03-Oct-12,RH-3,1,2,
1248 SANCHEZ ST,,6548,6,2,2,,,,,2 FAMILY DWELLING,23-Apr-12,RH-2,7,8,
4209 24TH ST,,6505,47,2,2,,,,,2 FAMILY DWELLING,06-Aug-12,RH-2,7,8,
605 KEARNY ST,,226,7,2,2,,,,RETAIL SALES,2 FAMILY DWELLING,17-Aug-12,CCB,3,3,
277 SAN CARLOS ST,,3596,,2,2,,,,,2 FAMILY DWELLING,31-Jul-12,NC-1,8,9,Mission
237 MINERVA ST,,7092,70,1,1,,,,,1 FAMILY DWELLING,21-Mar-12,RH-1,13,11,
2010 PACIFIC AV,,578,8,13,1,1,MOD 2,,APARTMENTS,APARTMENTS,12-Jan-12,RM-2,2,2,
226 HAIGHT ST,,851,12,4,1,1,MOD 2,,APARTMENTS,APARTMENTS,09-May-12,RTO,6,5,Market Octavia
4995 MISSION ST,,6346,14,4,1,1,MOD 2,,APARTMENTS,APARTMENTS,09-Nov-12,NC-3,12,11,
