STDADDRESS,PRJ_NAME,BLOCK,LOT,UNITS,NETUNITS,AFF_HSG,AFF_TARGET,CNG_TYPE,EXISTUSE,PROPUSE,ACTDATE, Zoning,PD_NO,SD_NO,PLANAREA,LAT_LNG,ZIP_CODE,ZILLOW_ID,RENT_ESTIMATE,HOUSE_SIZE
312 CONNECTICUT ST,,4035,3,1,1,,,Conversion,CHURCH,1 FAMILY DWELLING,10/16/2013,RH-2,7,8,,"[37.7622697, -122.3978033]",94107,2114280702,8500,8000
338 SOUTH VAN NESS AV,,3548,7,3,1,,,Expansion,2 FAMILY DWELLING,APARTMENTS,4/18/2013,NCT-UPPER MARKET,7,8,,"[37.7677143, -122.4179812]",94103,,,
34 PLEASANT ST,,221,20,3,1,1,SEC,Expansion,2 FAMILY DWELLING,APARTMENTS,11/6/2013,RM-1,1,1,,"[37.793043, -122.413384]",94108,67408438,9000,2080
351 17TH AV,,1449,11,2,1,1,SEC,Expansion,1 FAMILY DWELLING,2 FAMILY DWELLING,3/28/2013,RTO,6,5,Market/Octavia,"[37.781428, -122.476565]",94121,15091883,9000,3428
371 VERNON ST,,7004,4,2,1,,,Expansion,1 FAMILY DWELLING,1 FAMILY DWELLING,11/26/2013,RH-1,7,8,,"[37.719168, -122.468326]",94132,15190109,3995,1087
38 FLORA ST,,5355,10,1,1,,,New Construction,,1 FAMILY DWELLING,6/10/2013,RCD,9,6,West Soma,"[37.7320096, -122.3943267]",94124,15157567,3995,1637
3977 25TH ST,,6549,31,2,1,1,SEC,Expansion,1 FAMILY DWELLING,2 FAMILY DWELLING,11/6/2013,RTO,6,5,Market/Octavia,"[37.74975200000001, -122.428939]",94114,15181299,5395,1175
40 ELGIN PK,,3502,76,2,1,1,SEC,Expansion,1 FAMILY DWELLING,2 FAMILY DWELLING,9/20/2013,RH-1,15,4,,"[37.7707964, -122.4234753]",94103,15142408,6300,1780
42 MIRAMAR AV,,7016,33,1,1,,,New Construction,,1 FAMILY DWELLING,4/12/2013,RH-1,15,4,,"[37.71902, -122.457853]",94112,15190692,4300,2525
42 NEWMAN ST,,5715,1,2,1,,,Conversion,OFFICE,2 FAMILY DWELLING,6/19/2013,RH-2,12,11,Glen Park,"[37.737613, -122.41815]",94110,15163508,5800,3000
4324 ANZA ST,,1510,22,2,1,,,Expansion,1 FAMILY DWELLING,2 FAMILY DWELLING,10/2/2013,NC-1,12,11,,"[37.777952, -122.49475]",94121,15093525,4900,1300
436 MORAGA ST,,1933,24,2,1,1,SEC,Expansion,1 FAMILY DWELLING,2 FAMILY DWELLING,10/10/2013,DTR-Transbay        DTR- Rincon Hill,0,0,,"[37.756753, -122.467588]",94122,15109788,,1933
443 VERNON ST,,6995,55,1,1,,,New Construction,,1 FAMILY DWELLING,3/19/2013,RH-1,12,11,,"[37.720466, -122.468338]",94132,,,
444 IVY ST,,807,22,1,1,,,New Construction,,1 FAMILY DWELLING,7/29/2013,RH-1,15,4,,"[37.7771143, -122.4255623]",94102,,,
448 DIAMOND ST,,2768,8,1,1,,,New Construction,,1 FAMILY DWELLING,6/28/2013,RH-1,13,11,,"[37.755172, -122.437027]",94114,15130716,11900,3462
451 34TH AV,,1466,9,2,1,1,SEC,Expansion,1 FAMILY DWELLING,2 FAMILY DWELLING,1/24/2013,RH-2,7,8,,"[37.780591, -122.494777]",94121,15092353,5850,975
466 SANCHEZ ST,,3581,12,2,1,1,SEC,Expansion,1 FAMILY DWELLING,2 FAMILY DWELLING,7/11/2013,RH-1,7,8,,"[37.761677, -122.43094]",94114,15144261,10500,3010
470 33RD AV,,1464,,2,1,1,SEC,Expansion,1 FAMILY DWELLING,2 FAMILY DWELLING,11/20/2013,RH-1,2,2,,"[37.780327, -122.493024]",94121,15092272,5300,1967
539 FAXON AV,,6934,2,1,1,,,Expansion,,1 FAMILY DWELLING,3/20/2013,RH-1,2,2,,"[37.724314, -122.460549]",94112,2113611157,5250,3475
55 DOLORES ST,,3534,,6,1,1,SEC,Expansion,APARTMENTS,APARTMENTS,4/16/2013,UMU,8,9,Eastern Neighborhoods,"[37.7684009, -122.4265406]",94103,,,
55 WATERVILLE ST,,5379,29,1,1,,,New Construction,,1 FAMILY DWELLING,5/7/2013,RH-3,3,2,Fishermans Wharf,"[37.735339, -122.402495]",94124,122245097,4190,2134
585 KANSAS ST,,4009,,2,1,,,Expansion,1 FAMILY DWELLING,2 FAMILY DWELLING,7/24/2013,RH-1,15,4,,"[37.7623774, -122.403166]",94107,15149101,6000,1175
590 35TH AV,,1510,25,2,1,1,SEC,Expansion,1 FAMILY DWELLING,2 FAMILY DWELLING,8/19/2013,RH-1(D),14,7,,"[37.777906, -122.495041]",94121,15093527,10500,4070
605 KEARNY ST,,226,7,1,1,,,Conversion,RETAIL SALES,1 FAMILY DWELLING,6/26/2013,RH-2,11,9,,"[37.7937208, -122.4048248]",94108,,,
62 BAY VIEW ST,,5343,13,2,1,,,Expansion,1 FAMILY DWELLING,2 FAMILY DWELLING,10/25/2013,RH-1,12,9,,"[37.732669, -122.3934848]",94124,15157270,4500,2783
626 PARIS ST,,6345,7,1,1,,,New Construction,,1 FAMILY DWELLING,10/7/2013,NC-2,5,2,,"[37.71893499999999, -122.437354]",94112,15176387,4500,2590
639 NATOMA ST,,3727,35,3,1,,,Expansion,2 FAMILY DWELLING,APARTMENTS,6/7/2013,RH-2,13,7,Balboa Park,"[37.7775729, -122.410726]",94103,63197413,5500,1200
670 COMMERCIAL ST,,227,32,4,1,,,Expansion,APARTMENTS,APARTMENTS,6/26/2013,RH-2,2,2,,"[37.7942078, -122.4042333]",94111,,,
680 DOUGLASS ST,,2802,6,1,1,,,New Construction,,1 FAMILY DWELLING,5/1/2013,RH-2,2,2,,"[37.752942, -122.438935]",94114,15131523,15000,3600
701 43RD AV,,1601,1,2,1,,,Expansion,1 FAMILY DWELLING,2 FAMILY DWELLING,2/12/2013,RH-1,7,8,,"[37.775263, -122.504019]",94121,15096770,4899,2009
7327 GEARY BL,,1507,38,2,1,1,SEC,Expansion,1 FAMILY DWELLING,2 FAMILY DWELLING,10/15/2013,RH-1,12,11,,"[37.779174, -122.498104]",94121,,,
76 DIAMOND ST,,2649,13,2,1,1,SEC,Expansion,1 FAMILY DWELLING,2 FAMILY DWELLING,5/13/2013,RH-1,12,11,,"[37.76113, -122.437554]",94114,15128242,8084,1920
817 YORK ST,,4088,30,2,1,1,SEC,Expansion,1 FAMILY DWELLING,2 FAMILY DWELLING,11/25/2013,RH-2,14,7,,"[37.758591, -122.408463]",94110,15150261,4200,1338
875 43RD AV,,1686,16,2,1,1,SEC,Expansion,1 FAMILY DWELLING,2 FAMILY DWELLING,9/20/2013,RH-2,6,5,,"[37.77218, -122.503838]",94121,15100372,5400,2310
915 FLORIDA ST,,4145,29,2,1,1,SEC,Expansion,1 FAMILY DWELLING,2 FAMILY DWELLING,11/27/2013,RH-2,6,5,,"[37.7568569, -122.410183]",94110,15151148,4250,1386
