APPL_NO,FORM,STRDADDRESS,BLOCK,LOT,UNITS,NETUNITS,AFF_HSG,AFF_TARGET,CNG_TYPE,EXISTUSE,PROPUSE,ACTDATE,ZONING,PD_NO,SD_NO,LAT_LNG,ZIP_CODE,ZILLOW_ID,RENT_ESTIMATE,HOUSE_SIZE
200807116520,2,365 FULTON ST,0792,028,120,120,120,,N,,APARTMENTS,,NCT-3,5,6,"[37.7786401, -122.4230704]",94102,,,
201009201195,1,855 JAMESTOWN AV,4991,277,36,36,,,N,,,,RH-2,10,11,"[37.7164805, -122.3903393]",94124,,,
200710306825,2,2139 OFARRELL ST,1101,022,21,21,21,,N,,APARTMENTS,,RM-3,5,5,"[37.7820449, -122.440173]",94115,,,
200809192140,2,420 29TH AV,1460,015,20,20,20,,N,,APARTMENTS,,RH-2,1,1,"[37.78135899999999, -122.488816]",94121,,,
200505182747,2,121 09TH ST,3728,069,20,20,2,,N,,APARTMENTS,,SLR,4,6,"[37.776031, -122.4141125]",94103,,,
200612139733,2,55 TRUMBULL ST,5868,006,18,18,2,,N,,APARTMENTS,,NC-2,12,11,"[37.730999, -122.428685]",94112,2126434176,,1200
201103282964,1,867 JAMESTOWN AV,4991,277,18,18,,,N,,APARTMENTS,,RH-2,10,11,"[37.717913, -122.392489]",94124,,,
201009201205,1,857 JAMESTOWN AV,4991,277,12,12,,,N,,APARTMENTS,06/29/2011 12:00:00 AM,RH-2,10,11,"[37.717422, -122.3919302]",94124,,,
200512281131,2,101 EXECUTIVE PARK BL,4991,279,7,7,,,N,,APARTMENTS,02/09/2011 12:00:00 AM,C-2,10,11,"[37.7114057, -122.3942353]",94124,,,
200512281126,2,101 EXECUTIVE PARK BL,4991,279,6,6,,,N,,,,C-2,10,11,"[37.7114057, -122.3942353]",94124,,,
200512281138,2,101 EXECUTIVE PARK BL,4991,241,6,6,,,N,,APARTMENTS,02/09/2011 12:00:00 AM,C-2,10,11,"[37.7114057, -122.3942353]",94124,,,
200707308102,1,19 TEHAMA ST,3736,079,4,4,,,N,,APARTMENTS,,C-3-O(SD),9,6,"[37.787539, -122.3959346]",94105,2122495406,5082,
200906190864,2,149 DORE ST,3519,059,4,4,,,N,,APARTMENTS,,SLR,9,6,"[37.7729267, -122.4114631]",94103,111924777,9000,6839
